#語	DF	IDF
概要	23	1.638272163982407
必要	23	1.638272163982407
作品	23	1.638272163982407
分	22	1.6575773191777938
次	22	1.6575773191777938
当時	22	1.6575773191777938
一覧	22	1.6575773191777938
出身	22	1.6575773191777938
年代	22	1.6575773191777938
際	21	1.6777807052660807
式	21	1.6777807052660807
参考	21	1.6777807052660807
昭和	21	1.6777807052660807
場	20	1.6989700043360187
所	20	1.6989700043360187
年生	20	1.6989700043360187
可能	20	1.6989700043360187
線	20	1.6989700043360187
文献	20	1.6989700043360187
活動	19	1.7212463990471711
ほか	19	1.7212463990471711
交通	19	1.7212463990471711
アメリカ	19	1.7212463990471711
施設	19	1.7212463990471711
局	19	1.7212463990471711
度	19	1.7212463990471711
さ	19	1.7212463990471711
版	19	1.7212463990471711
一般	19	1.7212463990471711
開始	19	1.7212463990471711
社	19	1.7212463990471711
公式	19	1.7212463990471711
史	18	1.744727494896694
東京	18	1.744727494896694
型	18	1.744727494896694
駅	18	1.744727494896694
以降	18	1.744727494896694
系	18	1.744727494896694
万	17	1.7695510786217261
下	17	1.7695510786217261
軍	17	1.7695510786217261
長	17	1.7695510786217261
中心	17	1.7695510786217261
文化	17	1.7695510786217261
地方	17	1.7695510786217261
学校	17	1.7695510786217261
その他	17	1.7695510786217261
社会	17	1.7695510786217261
ここ	16	1.7958800173440752
結果	16	1.7958800173440752
参照	16	1.7958800173440752
館	16	1.7958800173440752
学	16	1.7958800173440752
部分	16	1.7958800173440752
本	16	1.7958800173440752
歳	16	1.7958800173440752
登場	16	1.7958800173440752
町	16	1.7958800173440752
機関	16	1.7958800173440752
多く	16	1.7958800173440752
設置	16	1.7958800173440752
所属	15	1.8239087409443187
とき	15	1.8239087409443187
事	15	1.8239087409443187
年度	15	1.8239087409443187
面	15	1.8239087409443187
頃	15	1.8239087409443187
以外	15	1.8239087409443187
水	15	1.8239087409443187
法	15	1.8239087409443187
問題	15	1.8239087409443187
ら	15	1.8239087409443187
所在地	15	1.8239087409443187
内容	15	1.8239087409443187
名前	15	1.8239087409443187
たち	14	1.853871964321762
位	14	1.853871964321762
平成	14	1.853871964321762
担当	14	1.853871964321762
位置	14	1.853871964321762
バス	14	1.853871964321762
以下	14	1.853871964321762
生活	14	1.853871964321762
目的	14	1.853871964321762
州	14	1.853871964321762
戦	14	1.853871964321762
英語	14	1.853871964321762
大学	14	1.853871964321762
多数	14	1.853871964321762
構成	14	1.853871964321762
番組	14	1.853871964321762
女性	14	1.853871964321762
参加	14	1.853871964321762
種	14	1.853871964321762
センター	14	1.853871964321762
研究	13	1.8860566476931633
教育	13	1.8860566476931633
西	13	1.8860566476931633
自身	13	1.8860566476931633
同年	13	1.8860566476931633
発生	13	1.8860566476931633
基本	13	1.8860566476931633
代	13	1.8860566476931633
道	13	1.8860566476931633
側	13	1.8860566476931633
金	13	1.8860566476931633
別	13	1.8860566476931633
放送	13	1.8860566476931633
北	13	1.8860566476931633
台	13	1.8860566476931633
回	13	1.8860566476931633
初期	13	1.8860566476931633
夏	13	1.8860566476931633
以上	13	1.8860566476931633
国際	13	1.8860566476931633
形	13	1.8860566476931633
廃止	13	1.8860566476931633
地域	13	1.8860566476931633
権	13	1.8860566476931633
事業	13	1.8860566476931633
全国	13	1.8860566476931633
高等	13	1.8860566476931633
誕生	13	1.8860566476931633
花	12	1.9208187539523753
明治	12	1.9208187539523753
うち	12	1.9208187539523753
営業	12	1.9208187539523753
最初	12	1.9208187539523753
記録	12	1.9208187539523753
五	12	1.9208187539523753
音楽	12	1.9208187539523753
中央	12	1.9208187539523753
事件	12	1.9208187539523753
規模	12	1.9208187539523753
映画	12	1.9208187539523753
十	12	1.9208187539523753
南	12	1.9208187539523753
京都	12	1.9208187539523753
彼	12	1.9208187539523753
曲	12	1.9208187539523753
書	12	1.9208187539523753
方面	12	1.9208187539523753
路線	12	1.9208187539523753
為	12	1.9208187539523753
用	12	1.9208187539523753
技術	12	1.9208187539523753
目	12	1.9208187539523753
大正	12	1.9208187539523753
完成	12	1.9208187539523753
専門	12	1.9208187539523753
江戸	11	1.958607314841775
ところ	11	1.958607314841775
年間	11	1.958607314841775
周辺	11	1.958607314841775
全て	11	1.958607314841775
小学校	11	1.958607314841775
元	11	1.958607314841775
員	11	1.958607314841775
同様	11	1.958607314841775
記念	11	1.958607314841775
はじめ	11	1.958607314841775
科学	11	1.958607314841775
当初	11	1.958607314841775
出版	11	1.958607314841775
政府	11	1.958607314841775
大阪	11	1.958607314841775
手	11	1.958607314841775
物語	11	1.958607314841775
影響	11	1.958607314841775
東	11	1.958607314841775
管理	11	1.958607314841775
没	11	1.958607314841775
サイト	11	1.958607314841775
通称	11	1.958607314841775
形成	11	1.958607314841775
変更	11	1.958607314841775
対象	11	1.958607314841775
戦争	11	1.958607314841775
発売	11	1.958607314841775
発展	11	1.958607314841775
男	11	1.958607314841775
保護	11	1.958607314841775
これら	11	1.958607314841775
依頼	11	1.958607314841775
様々	10	2.0
沿革	10	2.0
英	10	2.0
自動車	10	2.0
鉄道	10	2.0
近年	10	2.0
製	10	2.0
時期	10	2.0
語	10	2.0
雑誌	10	2.0
何	10	2.0
開発	10	2.0
意味	10	2.0
代表	10	2.0
経歴	10	2.0
類	10	2.0
風	10	2.0
現代	10	2.0
高	10	2.0
子	10	2.0
子供	10	2.0
店	10	2.0
構造	10	2.0
一つ	10	2.0
チーム	10	2.0
協会	10	2.0
計画	10	2.0
自然	10	2.0
以後	10	2.0
点	10	2.0
ラジオ	10	2.0
世紀	10	2.0
物	10	2.0
テレビ	10	2.0
調査	10	2.0
設立	10	2.0
神	10	2.0
終了	10	2.0
特徴	10	2.0
上記	10	2.0
卒業	9	2.045757490560675
詳細	9	2.045757490560675
色	9	2.045757490560675
プロジェクト	9	2.045757490560675
タイトル	9	2.045757490560675
開業	9	2.045757490560675
状態	9	2.045757490560675
記述	9	2.045757490560675
建設	9	2.045757490560675
のち	9	2.045757490560675
有名	9	2.045757490560675
体	9	2.045757490560675
もと	9	2.045757490560675
場所	9	2.045757490560675
郡	9	2.045757490560675
量	9	2.045757490560675
期間	9	2.045757490560675
団体	9	2.045757490560675
隊	9	2.045757490560675
四	9	2.045757490560675
最後	9	2.045757490560675
写真	9	2.045757490560675
病院	9	2.045757490560675
キャラクター	9	2.045757490560675
国内	9	2.045757490560675
著名	9	2.045757490560675
アクセス	9	2.045757490560675
付近	9	2.045757490560675
事実	9	2.045757490560675
選手	9	2.045757490560675
イギリス	9	2.045757490560675
通り	9	2.045757490560675
存命	9	2.045757490560675
方	9	2.045757490560675
程度	9	2.045757490560675
期	9	2.045757490560675
完全	9	2.045757490560675
名称	9	2.045757490560675
テンプレート	9	2.045757490560675
森	9	2.045757490560675
組織	9	2.045757490560675
機	9	2.045757490560675
長野	9	2.045757490560675
シリーズ	9	2.045757490560675
開催	9	2.045757490560675
形態	9	2.045757490560675
映像	9	2.045757490560675
中学校	9	2.045757490560675
父	9	2.045757490560675
アメリカ合衆国	9	2.045757490560675
主義	9	2.045757490560675
就任	9	2.045757490560675
近代	9	2.045757490560675
祭	9	2.045757490560675
環境	9	2.045757490560675
章	9	2.045757490560675
節	9	2.045757490560675
米	9	2.045757490560675
法人	9	2.045757490560675
彼ら	8	2.0969100130080562
経営	8	2.0969100130080562
国立	8	2.0969100130080562
対応	8	2.0969100130080562
各地	8	2.0969100130080562
著	8	2.0969100130080562
設計	8	2.0969100130080562
採用	8	2.0969100130080562
学生	8	2.0969100130080562
日本語	8	2.0969100130080562
さん	8	2.0969100130080562
直接	8	2.0969100130080562
賞	8	2.0969100130080562
法律	8	2.0969100130080562
小林	8	2.0969100130080562
会社	8	2.0969100130080562
すべて	8	2.0969100130080562
世	8	2.0969100130080562
中国	8	2.0969100130080562
車	8	2.0969100130080562
例	8	2.0969100130080562
高速	8	2.0969100130080562
通常	8	2.0969100130080562
井上	8	2.0969100130080562
初	8	2.0969100130080562
最大	8	2.0969100130080562
制	8	2.0969100130080562
区	8	2.0969100130080562
制度	8	2.0969100130080562
原	8	2.0969100130080562
最高	8	2.0969100130080562
移転	8	2.0969100130080562
院	8	2.0969100130080562
集	8	2.0969100130080562
翌年	8	2.0969100130080562
国道	8	2.0969100130080562
専用	8	2.0969100130080562
指定	8	2.0969100130080562
整備	8	2.0969100130080562
妻	8	2.0969100130080562
獲得	8	2.0969100130080562
近く	8	2.0969100130080562
事項	8	2.0969100130080562
プロ	8	2.0969100130080562
野球	8	2.0969100130080562
出演	8	2.0969100130080562
山	8	2.0969100130080562
監督	8	2.0969100130080562
困難	8	2.0969100130080562
人間	8	2.0969100130080562
対立	8	2.0969100130080562
府	8	2.0969100130080562
以前	8	2.0969100130080562
発表	8	2.0969100130080562
販売	8	2.0969100130080562
地区	8	2.0969100130080562
デザイン	8	2.0969100130080562
提供	8	2.0969100130080562
村	8	2.0969100130080562
一番	8	2.0969100130080562
全体	8	2.0969100130080562
武	8	2.0969100130080562
氏	8	2.0969100130080562
毎年	8	2.0969100130080562
都市	8	2.0969100130080562
体制	8	2.0969100130080562
大戦	8	2.0969100130080562
自由	8	2.0969100130080562
共同	8	2.0969100130080562
全長	8	2.0969100130080562
重要	8	2.0969100130080562
状	8	2.0969100130080562
率	8	2.0969100130080562
委員	8	2.0969100130080562
テーマ	8	2.0969100130080562
百	8	2.0969100130080562
普通	8	2.0969100130080562
ドイツ	8	2.0969100130080562
紹介	8	2.0969100130080562
改称	8	2.0969100130080562
建築	8	2.0969100130080562
デビュー	8	2.0969100130080562
観光	8	2.0969100130080562
方法	8	2.0969100130080562
決定	8	2.0969100130080562
批判	8	2.0969100130080562
初代	7	2.154901959985743
職	7	2.154901959985743
分野	7	2.154901959985743
言語	7	2.154901959985743
シングル	7	2.154901959985743
反対	7	2.154901959985743
主要	7	2.154901959985743
作曲	7	2.154901959985743
グループ	7	2.154901959985743
少年	7	2.154901959985743
ホーム	7	2.154901959985743
企画	7	2.154901959985743
取得	7	2.154901959985743
保存	7	2.154901959985743
道路	7	2.154901959985743
特殊	7	2.154901959985743
街	7	2.154901959985743
裏	7	2.154901959985743
自体	7	2.154901959985743
運動	7	2.154901959985743
谷	7	2.154901959985743
カバー	7	2.154901959985743
なか	7	2.154901959985743
過去	7	2.154901959985743
北緯	7	2.154901959985743
七	7	2.154901959985743
市民	7	2.154901959985743
広島	7	2.154901959985743
面積	7	2.154901959985743
農業	7	2.154901959985743
規格	7	2.154901959985743
タイプ	7	2.154901959985743
注意	7	2.154901959985743
光	7	2.154901959985743
円	7	2.154901959985743
力	7	2.154901959985743
右	7	2.154901959985743
ノート	7	2.154901959985743
ヨーロッパ	7	2.154901959985743
試合	7	2.154901959985743
理解	7	2.154901959985743
団	7	2.154901959985743
周年	7	2.154901959985743
死去	7	2.154901959985743
城	7	2.154901959985743
逮捕	7	2.154901959985743
勝利	7	2.154901959985743
客	7	2.154901959985743
室	7	2.154901959985743
マン	7	2.154901959985743
島	7	2.154901959985743
比較	7	2.154901959985743
巻	7	2.154901959985743
向け	7	2.154901959985743
外国	7	2.154901959985743
発行	7	2.154901959985743
掲載	7	2.154901959985743
西日本	7	2.154901959985743
限り	7	2.154901959985743
支援	7	2.154901959985743
後半	7	2.154901959985743
方向	7	2.154901959985743
春	7	2.154901959985743
アルバム	7	2.154901959985743
攻撃	7	2.154901959985743
朝	7	2.154901959985743
末	7	2.154901959985743
校	7	2.154901959985743
商品	7	2.154901959985743
様	7	2.154901959985743
システム	7	2.154901959985743
歌	7	2.154901959985743
神社	7	2.154901959985743
比	7	2.154901959985743
独自	7	2.154901959985743
政権	7	2.154901959985743
派	7	2.154901959985743
運用	7	2.154901959985743
シーズン	7	2.154901959985743
女子	7	2.154901959985743
方式	7	2.154901959985743
機会	7	2.154901959985743
博士	7	2.154901959985743
減少	7	2.154901959985743
資料	7	2.154901959985743
鹿児島	7	2.154901959985743
交流	7	2.154901959985743
公園	7	2.154901959985743
市内	7	2.154901959985743
受賞	7	2.154901959985743
リスト	7	2.154901959985743
以来	7	2.154901959985743
番	7	2.154901959985743
最終	7	2.154901959985743
省	7	2.154901959985743
石	7	2.154901959985743
戦闘	7	2.154901959985743
人々	7	2.154901959985743
姉妹	7	2.154901959985743
収録	7	2.154901959985743
科	7	2.154901959985743
秒	7	2.154901959985743
企業	7	2.154901959985743
向上	7	2.154901959985743
スペース	7	2.154901959985743
解説	7	2.154901959985743
航空	7	2.154901959985743
政策	7	2.154901959985743
ジャンル	6	2.221848749616356
途中	6	2.221848749616356
新た	6	2.221848749616356
運行	6	2.221848749616356
理由	6	2.221848749616356
戦後	6	2.221848749616356
船	6	2.221848749616356
領域	6	2.221848749616356
地理	6	2.221848749616356
連載	6	2.221848749616356
事務所	6	2.221848749616356
通過	6	2.221848749616356
温泉	6	2.221848749616356
展開	6	2.221848749616356
制作	6	2.221848749616356
藩	6	2.221848749616356
結婚	6	2.221848749616356
工業	6	2.221848749616356
連合	6	2.221848749616356
息子	6	2.221848749616356
それぞれ	6	2.221848749616356
翻訳	6	2.221848749616356
主催	6	2.221848749616356
訳	6	2.221848749616356
乗車	6	2.221848749616356
そこ	6	2.221848749616356
意識	6	2.221848749616356
実現	6	2.221848749616356
日本人	6	2.221848749616356
豊	6	2.221848749616356
有力	6	2.221848749616356
丸	6	2.221848749616356
今	6	2.221848749616356
仏	6	2.221848749616356
本部	6	2.221848749616356
限定	6	2.221848749616356
作	6	2.221848749616356
イベント	6	2.221848749616356
まま	6	2.221848749616356
評価	6	2.221848749616356
総合	6	2.221848749616356
編入	6	2.221848749616356
状況	6	2.221848749616356
像	6	2.221848749616356
億	6	2.221848749616356
八	6	2.221848749616356
さまざま	6	2.221848749616356
歴代	6	2.221848749616356
奈良	6	2.221848749616356
千	6	2.221848749616356
範囲	6	2.221848749616356
中山	6	2.221848749616356
精神	6	2.221848749616356
命	6	2.221848749616356
移住	6	2.221848749616356
品	6	2.221848749616356
ヶ月	6	2.221848749616356
門	6	2.221848749616356
バック	6	2.221848749616356
キロ	6	2.221848749616356
雨	6	2.221848749616356
圏	6	2.221848749616356
設定	6	2.221848749616356
判断	6	2.221848749616356
項	6	2.221848749616356
産業	6	2.221848749616356
声	6	2.221848749616356
外	6	2.221848749616356
夜	6	2.221848749616356
夢	6	2.221848749616356
モデル	6	2.221848749616356
大会	6	2.221848749616356
夫人	6	2.221848749616356
国鉄	6	2.221848749616356
変化	6	2.221848749616356
九州	6	2.221848749616356
字	6	2.221848749616356
沿い	6	2.221848749616356
宗	6	2.221848749616356
官	6	2.221848749616356
話題	6	2.221848749616356
寺	6	2.221848749616356
達成	6	2.221848749616356
試験	6	2.221848749616356
太郎	6	2.221848749616356
大分	6	2.221848749616356
左	6	2.221848749616356
それら	6	2.221848749616356
帯	6	2.221848749616356
中期	6	2.221848749616356
唯一	6	2.221848749616356
心	6	2.221848749616356
地元	6	2.221848749616356
恋	6	2.221848749616356
恵	6	2.221848749616356
佐藤	6	2.221848749616356
北部	6	2.221848749616356
マルチメディア	6	2.221848749616356
愛	6	2.221848749616356
編成	6	2.221848749616356
隣接	6	2.221848749616356
部門	6	2.221848749616356
スポーツ	6	2.221848749616356
生産	6	2.221848749616356
種類	6	2.221848749616356
沖縄	6	2.221848749616356
ファン	6	2.221848749616356
本来	6	2.221848749616356
性能	6	2.221848749616356
明	6	2.221848749616356
開設	6	2.221848749616356
文字	6	2.221848749616356
安全	6	2.221848749616356
木	6	2.221848749616356
メンバー	6	2.221848749616356
アジア	6	2.221848749616356
被害	6	2.221848749616356
南部	6	2.221848749616356
付属	6	2.221848749616356
丁目	6	2.221848749616356
交換	6	2.221848749616356
ゲーム	6	2.221848749616356
正	6	2.221848749616356
漫画	6	2.221848749616356
母	6	2.221848749616356
自ら	6	2.221848749616356
一種	6	2.221848749616356
ちゃん	6	2.221848749616356
共通	6	2.221848749616356
体重	6	2.221848749616356
楽曲	6	2.221848749616356
改正	6	2.221848749616356
イメージ	6	2.221848749616356
特別	6	2.221848749616356
原作	6	2.221848749616356
今日	6	2.221848749616356
ん	6	2.221848749616356
略称	6	2.221848749616356
オリジナル	6	2.221848749616356
案内	6	2.221848749616356
ロンドン	6	2.221848749616356
人気	6	2.221848749616356
アフリカ	6	2.221848749616356
入学	6	2.221848749616356
西部	6	2.221848749616356
分裂	6	2.221848749616356
生誕	6	2.221848749616356
戦国	6	2.221848749616356
私	6	2.221848749616356
いずれ	6	2.221848749616356
従来	6	2.221848749616356
動物	6	2.221848749616356
北海道	6	2.221848749616356
言葉	6	2.221848749616356
リリース	6	2.221848749616356
美術	6	2.221848749616356
規制	6	2.221848749616356
統計	6	2.221848749616356
データ	6	2.221848749616356
居住	6	2.221848749616356
候補	6	2.221848749616356
リーグ	6	2.221848749616356
警察	6	2.221848749616356
実施	6	2.221848749616356
徒歩	6	2.221848749616356
アナウンサー	6	2.221848749616356
定期	6	2.221848749616356
列車	6	2.221848749616356
家族	5	2.3010299956639813
ページ	5	2.3010299956639813
太田	5	2.3010299956639813
条約	5	2.3010299956639813
下車	5	2.3010299956639813
農家	5	2.3010299956639813
トンネル	5	2.3010299956639813
模様	5	2.3010299956639813
東経	5	2.3010299956639813
平和	5	2.3010299956639813
思想	5	2.3010299956639813
距離	5	2.3010299956639813
連邦	5	2.3010299956639813
国籍	5	2.3010299956639813
出場	5	2.3010299956639813
生年月日	5	2.3010299956639813
サービス	5	2.3010299956639813
分離	5	2.3010299956639813
山口	5	2.3010299956639813
作業	5	2.3010299956639813
好き	5	2.3010299956639813
前述	5	2.3010299956639813
相当	5	2.3010299956639813
記載	5	2.3010299956639813
運転	5	2.3010299956639813
中部	5	2.3010299956639813
活躍	5	2.3010299956639813
最近	5	2.3010299956639813
スペイン	5	2.3010299956639813
ネット	5	2.3010299956639813
けい	5	2.3010299956639813
意見	5	2.3010299956639813
飛行	5	2.3010299956639813
制限	5	2.3010299956639813
男女	5	2.3010299956639813
学科	5	2.3010299956639813
岐阜	5	2.3010299956639813
入り	5	2.3010299956639813
東日本	5	2.3010299956639813
演奏	5	2.3010299956639813
分布	5	2.3010299956639813
フランク	5	2.3010299956639813
フランス	5	2.3010299956639813
自分	5	2.3010299956639813
赤	5	2.3010299956639813
のり	5	2.3010299956639813
はな	5	2.3010299956639813
丘	5	2.3010299956639813
乱	5	2.3010299956639813
身	5	2.3010299956639813
伝	5	2.3010299956639813
年齢	5	2.3010299956639813
周囲	5	2.3010299956639813
発着	5	2.3010299956639813
個	5	2.3010299956639813
制定	5	2.3010299956639813
村上	5	2.3010299956639813
容疑	5	2.3010299956639813
都	5	2.3010299956639813
共	5	2.3010299956639813
カード	5	2.3010299956639813
わけ	5	2.3010299956639813
冬	5	2.3010299956639813
里	5	2.3010299956639813
伝統	5	2.3010299956639813
本名	5	2.3010299956639813
死亡	5	2.3010299956639813
戦い	5	2.3010299956639813
児童	5	2.3010299956639813
口	5	2.3010299956639813
岡山	5	2.3010299956639813
君	5	2.3010299956639813
明確	5	2.3010299956639813
池田	5	2.3010299956639813
基準	5	2.3010299956639813
改名	5	2.3010299956639813
器	5	2.3010299956639813
隣	5	2.3010299956639813
異常	5	2.3010299956639813
前後	5	2.3010299956639813
業務	5	2.3010299956639813
土	5	2.3010299956639813
水素	5	2.3010299956639813
箇所	5	2.3010299956639813
解放	5	2.3010299956639813
一方	5	2.3010299956639813
頁	5	2.3010299956639813
順	5	2.3010299956639813
主張	5	2.3010299956639813
由来	5	2.3010299956639813
車両	5	2.3010299956639813
軍事	5	2.3010299956639813
自己	5	2.3010299956639813
改革	5	2.3010299956639813
上映	5	2.3010299956639813
女	5	2.3010299956639813
不明	5	2.3010299956639813
強制	5	2.3010299956639813
メーカー	5	2.3010299956639813
指導	5	2.3010299956639813
娘	5	2.3010299956639813
パリ	5	2.3010299956639813
書房	5	2.3010299956639813
仕事	5	2.3010299956639813
新設	5	2.3010299956639813
成立	5	2.3010299956639813
傾向	5	2.3010299956639813
防止	5	2.3010299956639813
信濃	5	2.3010299956639813
小	5	2.3010299956639813
身長	5	2.3010299956639813
屋	5	2.3010299956639813
生涯	5	2.3010299956639813
鳥	5	2.3010299956639813
クラブ	5	2.3010299956639813
嵐	5	2.3010299956639813
川	5	2.3010299956639813
父親	5	2.3010299956639813
新人	5	2.3010299956639813
募集	5	2.3010299956639813
大名	5	2.3010299956639813
近畿	5	2.3010299956639813
イタリア	5	2.3010299956639813
ビデオ	5	2.3010299956639813
崩壊	5	2.3010299956639813
選択	5	2.3010299956639813
都道府県	5	2.3010299956639813
指揮	5	2.3010299956639813
禁止	5	2.3010299956639813
執筆	5	2.3010299956639813
吉田	5	2.3010299956639813
機能	5	2.3010299956639813
部隊	5	2.3010299956639813
死後	5	2.3010299956639813
事情	5	2.3010299956639813
現場	5	2.3010299956639813
国家	5	2.3010299956639813
県立	5	2.3010299956639813
独立	5	2.3010299956639813
教	5	2.3010299956639813
文	5	2.3010299956639813
族	5	2.3010299956639813
行政	5	2.3010299956639813
作詞	5	2.3010299956639813
山田	5	2.3010299956639813
有	5	2.3010299956639813
現存	5	2.3010299956639813
条	5	2.3010299956639813
枠	5	2.3010299956639813
輸送	5	2.3010299956639813
提出	5	2.3010299956639813
高校	5	2.3010299956639813
スタッフ	5	2.3010299956639813
確認	5	2.3010299956639813
アニメ	5	2.3010299956639813
区間	5	2.3010299956639813
橋	5	2.3010299956639813
違い	5	2.3010299956639813
ピーク	5	2.3010299956639813
形式	5	2.3010299956639813
効果	5	2.3010299956639813
永	5	2.3010299956639813
会場	5	2.3010299956639813
池	5	2.3010299956639813
泉	5	2.3010299956639813
波	5	2.3010299956639813
工事	5	2.3010299956639813
海	5	2.3010299956639813
快速	5	2.3010299956639813
工作	5	2.3010299956639813
サッカー	5	2.3010299956639813
湖	5	2.3010299956639813
源	5	2.3010299956639813
入口	5	2.3010299956639813
政治	5	2.3010299956639813
松本	5	2.3010299956639813
コース	5	2.3010299956639813
国有	5	2.3010299956639813
内部	5	2.3010299956639813
ジョージ	5	2.3010299956639813
活発	5	2.3010299956639813
能力	5	2.3010299956639813
連絡	5	2.3010299956639813
福祉	5	2.3010299956639813
成功	5	2.3010299956639813
非常	5	2.3010299956639813
建物	5	2.3010299956639813
犬	5	2.3010299956639813
猫	5	2.3010299956639813
バス停	5	2.3010299956639813
継続	5	2.3010299956639813
徳島	5	2.3010299956639813
書籍	5	2.3010299956639813
電気	5	2.3010299956639813
系列	5	2.3010299956639813
国民	5	2.3010299956639813
元年	5	2.3010299956639813
西側	5	2.3010299956639813
授業	5	2.3010299956639813
創立	5	2.3010299956639813
ソ連	5	2.3010299956639813
冒険	5	2.3010299956639813
古代	5	2.3010299956639813
育成	5	2.3010299956639813
市営	5	2.3010299956639813
加盟	5	2.3010299956639813
年表	5	2.3010299956639813
表現	5	2.3010299956639813
積極	5	2.3010299956639813
いくつ	5	2.3010299956639813
秋	5	2.3010299956639813
八幡	5	2.3010299956639813
用語	5	2.3010299956639813
市場	5	2.3010299956639813
空	5	2.3010299956639813
宗教	5	2.3010299956639813
整理	5	2.3010299956639813
文化財	5	2.3010299956639813
報道	5	2.3010299956639813
出力	5	2.3010299956639813
信号	4	2.3979400086720375
聖	4	2.3979400086720375
停留所	4	2.3979400086720375
結合	4	2.3979400086720375
開放	4	2.3979400086720375
分割	4	2.3979400086720375
小学	4	2.3979400086720375
卒業生	4	2.3979400086720375
料理	4	2.3979400086720375
幹部	4	2.3979400086720375
収容	4	2.3979400086720375
移籍	4	2.3979400086720375
降車	4	2.3979400086720375
報告	4	2.3979400086720375
備考	4	2.3979400086720375
類似	4	2.3979400086720375
利便	4	2.3979400086720375
オープン	4	2.3979400086720375
空港	4	2.3979400086720375
画像	4	2.3979400086720375
茂	4	2.3979400086720375
通信	4	2.3979400086720375
元気	4	2.3979400086720375
世代	4	2.3979400086720375
社長	4	2.3979400086720375
一切	4	2.3979400086720375
代目	4	2.3979400086720375
メートル	4	2.3979400086720375
車種	4	2.3979400086720375
統合	4	2.3979400086720375
課程	4	2.3979400086720375
前身	4	2.3979400086720375
関東	4	2.3979400086720375
勲章	4	2.3979400086720375
広告	4	2.3979400086720375
競技	4	2.3979400086720375
創設	4	2.3979400086720375
訴訟	4	2.3979400086720375
別名	4	2.3979400086720375
武蔵	4	2.3979400086720375
著者	4	2.3979400086720375
汚染	4	2.3979400086720375
福井	4	2.3979400086720375
分類	4	2.3979400086720375
直後	4	2.3979400086720375
保安	4	2.3979400086720375
標準	4	2.3979400086720375
進出	4	2.3979400086720375
歌詞	4	2.3979400086720375
名古屋	4	2.3979400086720375
ユニット	4	2.3979400086720375
中野	4	2.3979400086720375
親	4	2.3979400086720375
停車	4	2.3979400086720375
命令	4	2.3979400086720375
相手	4	2.3979400086720375
医療	4	2.3979400086720375
希望	4	2.3979400086720375
ごと	4	2.3979400086720375
派遣	4	2.3979400086720375
幕府	4	2.3979400086720375
しま	4	2.3979400086720375
週間	4	2.3979400086720375
番号	4	2.3979400086720375
反映	4	2.3979400086720375
月刊	4	2.3979400086720375
侵攻	4	2.3979400086720375
否定	4	2.3979400086720375
増刊	4	2.3979400086720375
所有	4	2.3979400086720375
増加	4	2.3979400086720375
質	4	2.3979400086720375
男子	4	2.3979400086720375
一家	4	2.3979400086720375
合意	4	2.3979400086720375
自動	4	2.3979400086720375
表記	4	2.3979400086720375
結成	4	2.3979400086720375
ぶり	4	2.3979400086720375
付	4	2.3979400086720375
運営	4	2.3979400086720375
定着	4	2.3979400086720375
番地	4	2.3979400086720375
輪	4	2.3979400086720375
命名	4	2.3979400086720375
生息	4	2.3979400086720375
焼失	4	2.3979400086720375
カラー	4	2.3979400086720375
便	4	2.3979400086720375
信	4	2.3979400086720375
始め	4	2.3979400086720375
マーク	4	2.3979400086720375
海軍	4	2.3979400086720375
